finyear,lgdstatecode,statename,lgddistrictcode,districtname,schemecode,totalbeneficiaries,totalmale,totalfemale,totaltransgender,totalsc,totalst,totalgen,totalobc,totalaadhaar,totalmobilenumber
2025-2026,1,JAMMU AND KASHMIR,1,ANANTNAG,IGNDPS,108,72,36,0,0,3,104,1,108,69
2025-2026,1,JAMMU AND KASHMIR,1,ANANTNAG,IGNOAPS,8438,5059,3379,0,37,235,8083,83,8371,7190
2025-2026,1,JAMMU AND KASHMIR,1,ANANTNAG,IGNWPS,202,0,202,0,1,15,180,6,200,159
2025-2026,1,JAMMU AND KASHMIR,10,POONCH,IGNDPS,310,211,99,0,0,77,200,33,234,110
2025-2026,1,JAMMU AND KASHMIR,10,POONCH,IGNOAPS,5958,3958,2000,0,2,1347,4367,242,3875,2287
2025-2026,1,JAMMU AND KASHMIR,10,POONCH,IGNWPS,382,0,382,0,0,65,298,19,260,90
2025-2026,1,JAMMU AND KASHMIR,11,PULWAMA,IGNDPS,95,63,32,0,0,6,81,8,94,93
2025-2026,1,JAMMU AND KASHMIR,11,PULWAMA,IGNOAPS,5021,2911,2110,0,1,197,4443,380,5021,4935
2025-2026,1,JAMMU AND KASHMIR,11,PULWAMA,IGNWPS,304,0,304,0,0,20,260,24,304,258
2025-2026,1,JAMMU AND KASHMIR,12,RAJAURI,IGNDPS,78,52,26,0,5,5,68,0,72,3
2025-2026,1,JAMMU AND KASHMIR,12,RAJAURI,IGNOAPS,8781,4887,3893,1,14,476,8259,32,8098,982
2025-2026,1,JAMMU AND KASHMIR,12,RAJAURI,IGNWPS,382,0,382,0,0,15,366,1,368,40
2025-2026,1,JAMMU AND KASHMIR,13,SRINAGAR,IGNDPS,124,77,47,0,0,0,124,0,123,96
2025-2026,1,JAMMU AND KASHMIR,13,SRINAGAR,IGNOAPS,5358,3198,2160,0,0,1,5356,1,5357,3716
2025-2026,1,JAMMU AND KASHMIR,13,SRINAGAR,IGNWPS,608,0,608,0,0,1,606,1,608,292
2025-2026,1,JAMMU AND KASHMIR,14,UDHAMPUR,IGNDPS,26,19,7,0,5,1,19,1,24,10
2025-2026,1,JAMMU AND KASHMIR,14,UDHAMPUR,IGNOAPS,5749,2939,2810,0,951,375,4320,103,4932,2547
2025-2026,1,JAMMU AND KASHMIR,14,UDHAMPUR,IGNWPS,356,0,356,0,85,17,241,13,250,127
2025-2026,1,JAMMU AND KASHMIR,2,BADGAM,IGNDPS,119,69,50,0,1,0,115,3,119,106
2025-2026,1,JAMMU AND KASHMIR,2,BADGAM,IGNOAPS,11616,6104,5512,0,253,71,11071,221,11614,9088
2025-2026,1,JAMMU AND KASHMIR,2,BADGAM,IGNWPS,255,0,255,0,2,1,250,2,255,204
2025-2026,1,JAMMU AND KASHMIR,3,BARAMULLA,IGNDPS,151,107,44,0,0,0,151,0,147,39
2025-2026,1,JAMMU AND KASHMIR,3,BARAMULLA,IGNOAPS,8020,4755,3264,1,111,85,7711,113,7976,5475
2025-2026,1,JAMMU AND KASHMIR,3,BARAMULLA,IGNWPS,692,0,692,0,1,0,691,0,690,164
2025-2026,1,JAMMU AND KASHMIR,4,DODA,IGNDPS,223,126,97,0,18,12,193,0,223,132
2025-2026,1,JAMMU AND KASHMIR,4,DODA,IGNOAPS,8425,5013,3412,0,521,357,7442,105,8351,5001
2025-2026,1,JAMMU AND KASHMIR,4,DODA,IGNWPS,268,0,268,0,9,17,242,0,266,173
2025-2026,1,JAMMU AND KASHMIR,5,JAMMU,IGNDPS,51,35,16,0,3,1,46,1,47,22
2025-2026,1,JAMMU AND KASHMIR,5,JAMMU,IGNOAPS,12539,6948,5591,0,1573,90,10815,61,12338,6793
2025-2026,1,JAMMU AND KASHMIR,5,JAMMU,IGNWPS,570,0,570,0,97,3,443,27,568,150
